iter	Logloss
0	0.6700690446
1	0.6552961358
2	0.6328842482
3	0.6164763411
4	0.6039754776
5	0.587809569
6	0.5728045293
7	0.5659904609
8	0.5545211912
9	0.5434066357
10	0.5326745426
11	0.5260653571
12	0.5163967912
13	0.5117163366
14	0.5045451975
15	0.497188463
16	0.4880978453
17	0.4827604426
18	0.4726267271
19	0.4660864716
20	0.4611490115
21	0.4537404911
22	0.4436107704
23	0.4382995203
24	0.4302391854
25	0.4215781777
26	0.4154512588
27	0.4123292988
28	0.4080415229
29	0.4029367711
30	0.3992446443
31	0.3939362022
32	0.3904598139
33	0.3845087855
34	0.3775505447
35	0.3739571098
36	0.3701282677
37	0.3657766323
38	0.3634597943
39	0.3592412225
40	0.3560157874
41	0.3481807082
42	0.3435568335
43	0.3408411471
44	0.3385446916
45	0.3358597328
46	0.333849563
47	0.3300200962
48	0.327492133
49	0.3247143801
