iter	Passed	Remaining
0	446	21883
1	659	15825
2	921	14437
3	1167	13423
4	1386	12479
5	1622	11901
6	1860	11426
7	2079	10919
8	2246	10236
9	2413	9652
10	2580	9149
11	2744	8691
12	2905	8269
13	3067	7888
14	3226	7528
15	3395	7214
16	3556	6902
17	3727	6626
18	3893	6352
19	4058	6087
20	4218	5825
21	4382	5578
22	4545	5335
23	4713	5106
24	4871	4871
25	5036	4649
26	5202	4431
27	5372	4221
28	5539	4011
29	5705	3803
30	5866	3595
31	6033	3394
32	6194	3190
33	6362	2994
34	6526	2796
35	6700	2605
36	6861	2410
37	7029	2219
38	7190	2028
39	7361	1840
40	7524	1651
41	7692	1465
42	7863	1280
43	8055	1098
44	8249	916
45	8414	731
46	8575	547
47	8741	364
48	8899	181
49	9064	0
